1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,995,23,994
23,994,23,984
23,994,23,986
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,987,23,985
23,986,23,984
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
1,24,1,23
4,149,4,129
4,150,4,131
12,249,12,247
12,256,12,253
12,257,12,254
12,263,12,259
12,267,12,266
15,283,15,282
18,418,18,415
18,532,18,531
18,644,18,642
18,649,18,642
18,649,18,644
18,652,18,651
19,907,19,906
19,920,19,917
19,920,19,915
21,941,21,933
23,973,23,972
23,986,23,984
23,987,23,985
23,990,23,989
23,994,23,984
23,994,23,986
23,995,23,994
